Column,Example
question,Which document assigns the authority to make Canadian regulations governing radiocommunications?
optionA,The Radiocommunication Act
optionB,The Broadcasting Act
optionC,The Standards for the Operation of Radio Stations in the Amateur Radio Service
optionD,The International Telecommunication Union's Radio Regulations
correctOption,A
explanation,"The Radiocommunication Act is the law that gives the government authority to make Canadian radiocommunication regulations; the detailed rules (regulations, standards, etc.) all flow from this Act. Memory Trick: Think &quot;Act = Authority&quot;&nbsp;&mdash; the Act is the root source of power for making regulations."
BankQuestionID,B-001-001-001
,
question,Which document assigns the authority to publish Standards for the Operation of Radio Stations in the Amateur Radio Service in Canada?
optionA,The International Telecommunication Union's Radio Regulations
optionB,The Radiocommunication Act
optionC,The Radiocommunication Regulations
optionD,The Broadcasting Act
correctOption,B
explanation,"The Radiocommunication Act authorizes the government to publish the Standards for the Operation of Radio Stations in the Amateur Radio Service; the Standards themselves are subordinate to this Act. Memory Trick: When you see &quot;authority to publish Standards,&quot; link it back to the master law &mdash; the Radiocommunication Act."
BankQuestionID,B-001-001-002
,
question,Which department is responsible for the administration of the Radiocommunication Act?
optionA,Communications Security Establishment Canada
optionB,National Defence
optionC,"Innovation, Science and Economic Development Canada"
optionD,Transport Canada
correctOption,C
explanation,"Innovation, Science and Economic Development Canada (ISED) is the department responsible for administering the Radiocommunication Act and managing amateur radio licensing and policy in Canada. Memory Trick: Remember &quot;ISED = radio rules in Canada&quot; for questions about who runs amateur radio regulations."
BankQuestionID,B-001-001-003
,
question,Which document defines the Canadian &quot;amateur radio service&quot;?
optionA,The Radiocommunication Act
optionB,The Standards for the Operation of Radio Stations in the Amateur Radio Service
optionC,The Radio Systems Policies
optionD,The Radiocommunication Regulations
correctOption,D
explanation,"The Radiocommunication Regulations contain the formal definition of the Canadian &quot;amateur radio service.&quot; The Act gives overall authority, but the detailed definitions live in the Regulations. Memory Trick: Think &quot;Definitions live in the Regulations&quot; when you see a question asking what something is."
BankQuestionID,B-001-001-004
,
question,What must you do within 30 days of a mailing address change?
optionA,"Inform Innovation, Science and Economic Development Canada"
optionB,Inform your local amateur radio club
optionC,Inform an accredited examiner
optionD,Inform Radio Amateurs of Canada (RAC)
correctOption,A
explanation,"You must inform Innovation, Science and Economic Development Canada within 30 days of a change of mailing address so that your certificate records remain accurate. Memory Trick: Link &quot;30 days&quot; with &quot;Tell ISED&quot; whenever you see address change questions."
BankQuestionID,B-001-002-001
,
question,An Amateur Radio Operator Certificate is valid for:
optionA,one year
optionB,life
optionC,five years
optionD,three years
correctOption,B
